loyalty_number,primary_segment,next_best_action,priority_band,retention_priority_score,recovery_potential_band,recovery_potential_score_v2,clv,loyalty_value_at_risk,clv_tier,loyalty_card,province,city,behavioral_churn,formal_churn,churn_status_group,active_month_rate,inactive_months,flights_last_6m,points_collector_flag,sharp_drop_flag,seasonal_flag
243272,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,36632.53,36632.53,Premium Value,Nova,Ontario,Sudbury,1,1,Confirmed Churn,0.0,24,0,0,0,0
967819,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,65,36293.15,36293.15,Premium Value,Nova,Quebec,Montreal,1,0,Silent Risk,0.0,24,0,0,0,0
328602,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,36229.41,36229.41,Premium Value,Nova,Ontario,Toronto,1,1,Confirmed Churn,0.0,24,0,0,0,0
196096,Premium Drifter,Personalized premium win-back offer,Critical Priority,90,Medium Recovery Potential,40,35203.57,35203.57,Premium Value,Nova,British Columbia,Vancouver,1,1,Confirmed Churn,0.0833333333333333,22,0,0,1,1
728009,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,65,34931.0,34931.0,Premium Value,Aurora,Alberta,Edmonton,1,0,Silent Risk,0.0,24,0,0,0,0
552776,Premium Drifter,Personalized premium win-back offer,Critical Priority,75,Medium Recovery Potential,40,34611.38,34611.38,Premium Value,Star,Manitoba,Winnipeg,1,1,Confirmed Churn,0.0833333333333333,22,0,0,0,1
574492,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,65,34039.06,34039.06,Premium Value,Nova,Manitoba,Winnipeg,1,0,Silent Risk,0.0,24,0,0,0,0
688132,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,65,33473.35,33473.35,Premium Value,Aurora,British Columbia,Vancouver,1,0,Silent Risk,0.0,24,0,0,0,0
959179,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,33473.35,33473.35,Premium Value,Star,Alberta,Calgary,1,1,Confirmed Churn,0.0,24,0,0,0,0
212301,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,High Recovery Potential,75,32861.26,32861.26,Premium Value,Aurora,Quebec,Montreal,1,0,Silent Risk,0.25,18,0,0,0,0
350486,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,65,32861.26,32861.26,Premium Value,Star,New Brunswick,Fredericton,1,0,Silent Risk,0.0,24,0,0,0,0
224178,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,65,32777.3,32777.3,Premium Value,Aurora,Ontario,Ottawa,1,0,Silent Risk,0.0,24,0,0,0,0
300460,Premium Drifter,Personalized premium win-back offer,Critical Priority,85,Medium Recovery Potential,50,32725.3,32725.3,Premium Value,Aurora,Saskatchewan,Regina,1,1,Confirmed Churn,0.1666666666666666,20,0,0,1,0
667800,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,32654.84,32654.84,Premium Value,Nova,Ontario,Toronto,1,1,Confirmed Churn,0.0,24,0,0,0,0
961440,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,32613.69,32613.69,Premium Value,Aurora,Ontario,Toronto,1,1,Confirmed Churn,0.0,24,0,0,0,0
259734,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,32450.39,32450.39,Premium Value,Nova,British Columbia,Victoria,1,1,Confirmed Churn,0.125,21,0,0,0,0
873965,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,32450.39,32450.39,Premium Value,Star,Quebec,Montreal,1,1,Confirmed Churn,0.1666666666666666,20,0,0,0,0
483274,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,32227.08,32227.08,Premium Value,Aurora,Ontario,Toronto,1,1,Confirmed Churn,0.0,24,0,0,0,0
108896,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,32196.6,32196.6,Premium Value,Nova,Ontario,Toronto,1,1,Confirmed Churn,0.1666666666666666,20,0,0,0,0
784597,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,32098.32,32098.32,Premium Value,Star,Quebec,Quebec City,1,1,Confirmed Churn,0.0,24,0,0,0,0
323341,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,31934.62,31934.62,Premium Value,Star,British Columbia,Vancouver,1,1,Confirmed Churn,0.0,24,0,0,0,0
562510,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,31920.77,31920.77,Premium Value,Aurora,British Columbia,Whistler,1,1,Confirmed Churn,0.125,21,0,0,0,0
460673,Premium Drifter,Personalized premium win-back offer,Critical Priority,85,Medium Recovery Potential,40,31706.93,31706.93,Premium Value,Star,Ontario,Ottawa,1,1,Confirmed Churn,0.25,18,0,0,1,0
729805,Premium Drifter,Personalized premium win-back offer,Critical Priority,75,Medium Recovery Potential,60,31642.1,31642.1,Premium Value,Nova,British Columbia,Vancouver,1,1,Confirmed Churn,0.2916666666666667,17,0,0,0,1
840659,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,High Recovery Potential,75,31221.75,31221.75,Premium Value,Nova,Alberta,Banff,1,0,Silent Risk,0.0,24,0,0,0,0
935665,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,65,31221.75,31221.75,Premium Value,Star,Ontario,Toronto,1,0,Silent Risk,0.0,24,0,0,0,0
857219,Premium Drifter,Personalized premium win-back offer,Critical Priority,75,Medium Recovery Potential,40,30909.22,30909.22,Premium Value,Nova,Ontario,Trenton,1,1,Confirmed Churn,0.0833333333333333,22,0,0,0,1
904397,Premium Drifter,Personalized premium win-back offer,Critical Priority,85,Medium Recovery Potential,60,30850.59,30850.59,Premium Value,Aurora,Ontario,Trenton,1,1,Confirmed Churn,0.3333333333333333,16,0,0,1,0
781293,Premium Drifter,Personalized premium win-back offer,Critical Priority,75,Medium Recovery Potential,40,30763.26,30763.26,Premium Value,Nova,Ontario,Toronto,1,1,Confirmed Churn,0.0833333333333333,22,0,0,0,1
946439,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,65,30591.61,30591.61,Premium Value,Aurora,Quebec,Montreal,1,0,Silent Risk,0.0,24,0,0,0,0
243273,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,65,30475.78,30475.78,Premium Value,Aurora,Alberta,Edmonton,1,0,Silent Risk,0.0,24,0,0,0,0
480435,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,30118.66,30118.66,Premium Value,Nova,British Columbia,Vancouver,1,1,Confirmed Churn,0.25,18,0,0,0,0
167491,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,29874.74,29874.74,Premium Value,Aurora,Quebec,Quebec City,1,1,Confirmed Churn,0.0,24,0,0,0,0
741926,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,65,29706.78,29706.78,Premium Value,Star,Ontario,Ottawa,1,0,Silent Risk,0.0,24,0,0,0,0
656958,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,29412.29,29412.29,Premium Value,Star,British Columbia,Dawson Creek,1,1,Confirmed Churn,0.0,24,0,0,0,0
484939,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,29232.69,29232.69,Premium Value,Star,British Columbia,Victoria,1,1,Confirmed Churn,0.0,24,0,0,0,0
577998,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,29091.24,29091.24,Premium Value,Nova,Ontario,Toronto,1,1,Confirmed Churn,0.0,24,0,0,0,0
662489,Premium Drifter,Personalized premium win-back offer,Critical Priority,75,Medium Recovery Potential,40,29037.48,29037.48,Premium Value,Star,British Columbia,Vancouver,1,1,Confirmed Churn,0.0833333333333333,22,0,0,0,1
960959,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,28824.06,28824.06,Premium Value,Aurora,Quebec,Hull,1,1,Confirmed Churn,0.0,24,0,0,0,0
467139,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,28699.89,28699.89,Premium Value,Nova,Ontario,Toronto,1,1,Confirmed Churn,0.0,24,0,0,0,0
756280,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,28435.64,28435.64,Premium Value,Nova,British Columbia,Vancouver,1,1,Confirmed Churn,0.0,24,0,0,0,0
121351,Premium Drifter,Personalized premium win-back offer,Critical Priority,90,Medium Recovery Potential,50,28421.57,28421.57,Premium Value,Aurora,Ontario,Toronto,1,1,Confirmed Churn,0.2727272727272727,8,0,0,1,1
804911,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,65,28421.57,28421.57,Premium Value,Nova,British Columbia,Vancouver,1,0,Silent Risk,0.0,24,0,0,0,0
813352,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,28393.33,28393.33,Premium Value,Aurora,British Columbia,Dawson Creek,1,1,Confirmed Churn,0.0,24,0,0,0,0
902200,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,28119.29,28119.29,Premium Value,Star,Ontario,Ottawa,1,1,Confirmed Churn,0.0,24,0,0,0,0
561722,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,27890.06,27890.06,Premium Value,Star,Quebec,Quebec City,1,1,Confirmed Churn,0.0,24,0,0,0,0
480858,Premium Drifter,Personalized premium win-back offer,Critical Priority,75,Medium Recovery Potential,65,27789.69,27789.69,Premium Value,Nova,Quebec,Quebec City,1,0,Silent Risk,0.0833333333333333,22,0,0,0,1
329088,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,60,27789.69,27789.69,Premium Value,Star,Alberta,Edmonton,1,1,Confirmed Churn,0.4166666666666667,14,0,0,0,0
475009,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,27789.69,27789.69,Premium Value,Star,Quebec,Tremblant,1,1,Confirmed Churn,0.0,24,0,0,0,0
750153,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,27789.69,27789.69,Premium Value,Aurora,Newfoundland,St. John's,1,1,Confirmed Churn,0.0,24,0,0,0,0
218127,Premium Drifter,Personalized premium win-back offer,Critical Priority,90,Medium Recovery Potential,40,27643.24,27643.24,Premium Value,Nova,British Columbia,Victoria,1,1,Confirmed Churn,0.2083333333333333,19,0,0,1,1
206050,Premium Drifter,Personalized premium win-back offer,Critical Priority,75,Medium Recovery Potential,40,27495.42,27495.42,Premium Value,Aurora,Alberta,Edmonton,1,1,Confirmed Churn,0.125,21,0,0,0,1
152685,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,27420.81,27420.81,Premium Value,Nova,Ontario,Ottawa,1,1,Confirmed Churn,0.0,24,0,0,0,0
375467,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,27382.82,27382.82,Premium Value,Aurora,British Columbia,Vancouver,1,1,Confirmed Churn,0.0,24,0,0,0,0
400844,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,27287.5,27287.5,Premium Value,Nova,Quebec,Montreal,1,1,Confirmed Churn,0.0,24,0,0,0,0
915009,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,27287.5,27287.5,Premium Value,Aurora,British Columbia,Whistler,1,1,Confirmed Churn,0.0,24,0,0,0,0
411651,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,27069.5,27069.5,Premium Value,Star,Quebec,Montreal,1,1,Confirmed Churn,0.0,24,0,0,0,0
833148,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,27069.5,27069.5,Premium Value,Aurora,British Columbia,Whistler,1,1,Confirmed Churn,0.2083333333333333,19,0,0,0,0
574688,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,65,26864.2,26864.2,Premium Value,Aurora,British Columbia,Vancouver,1,0,Silent Risk,0.0,24,0,0,0,0
530712,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,26730.06,26730.06,Premium Value,Star,Ontario,Toronto,1,1,Confirmed Churn,0.0,24,0,0,0,0
714161,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,65,26416.25,26416.25,Premium Value,Star,Quebec,Hull,1,0,Silent Risk,0.0,24,0,0,0,0
697323,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,26305.42,26305.42,Premium Value,Nova,Ontario,Trenton,1,1,Confirmed Churn,0.0,24,0,0,0,0
699281,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,26200.83,26200.83,Premium Value,Aurora,Ontario,Trenton,1,1,Confirmed Churn,0.1666666666666666,20,0,0,0,0
631714,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,65,26197.41,26197.41,Premium Value,Nova,British Columbia,Victoria,1,0,Silent Risk,0.0,24,0,0,0,0
841324,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,26197.41,26197.41,Premium Value,Aurora,New Brunswick,Fredericton,1,1,Confirmed Churn,0.0,24,0,0,0,0
361944,Premium Drifter,Personalized premium win-back offer,Critical Priority,85,Medium Recovery Potential,60,26113.36,26113.36,Premium Value,Star,Manitoba,Winnipeg,1,1,Confirmed Churn,0.2916666666666667,17,0,0,1,0
903679,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,26113.36,26113.36,Premium Value,Star,Quebec,Montreal,1,1,Confirmed Churn,0.0,24,0,0,0,0
219270,Premium Drifter,Personalized premium win-back offer,Critical Priority,85,Medium Recovery Potential,40,25807.06,25807.06,Premium Value,Aurora,Ontario,Toronto,1,1,Confirmed Churn,0.1666666666666666,20,0,0,1,0
150233,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,50,25807.06,25807.06,Premium Value,Nova,British Columbia,Dawson Creek,1,1,Confirmed Churn,0.2083333333333333,19,0,0,0,0
402136,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,25805.51,25805.51,Premium Value,Star,Quebec,Montreal,1,1,Confirmed Churn,0.0,24,0,0,0,0
196757,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,25626.71,25626.71,Premium Value,Aurora,Ontario,Trenton,1,1,Confirmed Churn,0.0,24,0,0,0,0
302313,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,50,25464.82,25464.82,Premium Value,Star,British Columbia,West Vancouver,1,1,Confirmed Churn,0.3333333333333333,16,0,0,0,0
713067,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,50,25464.82,25464.82,Premium Value,Nova,Nova Scotia,Halifax,1,1,Confirmed Churn,0.0416666666666666,23,0,0,0,0
423313,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,25464.82,25464.82,Premium Value,Star,Ontario,Trenton,1,1,Confirmed Churn,0.0,24,0,0,0,0
605768,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,65,25169.19,25169.19,Premium Value,Aurora,Quebec,Montreal,1,0,Silent Risk,0.0,24,0,0,0,0
733467,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,25093.57,25093.57,Premium Value,Aurora,Ontario,Thunder Bay,1,1,Confirmed Churn,0.0,24,0,0,0,0
536699,Premium Drifter,Personalized premium win-back offer,Critical Priority,75,Medium Recovery Potential,40,25082.18,25082.18,Premium Value,Star,Nova Scotia,Halifax,1,1,Confirmed Churn,0.125,21,0,0,0,1
448751,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,24980.23,24980.23,Premium Value,Aurora,Alberta,Edmonton,1,1,Confirmed Churn,0.0,24,0,0,0,0
237107,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,24826.89,24826.89,Premium Value,Aurora,Ontario,Thunder Bay,1,1,Confirmed Churn,0.0,24,0,0,0,0
274858,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,60,24709.6,24709.6,Premium Value,Star,Alberta,Edmonton,1,1,Confirmed Churn,0.375,15,0,0,0,0
120635,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,24636.97,24636.97,Premium Value,Nova,Quebec,Montreal,1,1,Confirmed Churn,0.0,24,0,0,0,0
140130,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,60,24278.1,24278.1,Premium Value,Star,Manitoba,Winnipeg,1,1,Confirmed Churn,0.3333333333333333,16,0,0,0,0
730795,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,24258.71,24258.71,Premium Value,Star,British Columbia,Victoria,1,1,Confirmed Churn,0.0,24,0,0,0,0
436282,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,24186.88,24186.88,Premium Value,Aurora,Ontario,Toronto,1,1,Confirmed Churn,0.0,24,0,0,0,0
835295,Premium Drifter,Personalized premium win-back offer,Critical Priority,75,Medium Recovery Potential,40,24127.5,24127.5,Premium Value,Star,Ontario,Toronto,1,1,Confirmed Churn,0.0833333333333333,22,0,0,0,1
170982,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,65,24127.5,24127.5,Premium Value,Nova,Quebec,Montreal,1,0,Silent Risk,0.0,24,0,0,0,0
844477,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,23990.15,23990.15,Premium Value,Aurora,Ontario,Sudbury,1,1,Confirmed Churn,0.0,24,0,0,0,0
128405,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,23984.62,23984.62,Premium Value,Star,Quebec,Montreal,1,1,Confirmed Churn,0.0,24,0,0,0,0
818886,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,23893.3,23893.3,Premium Value,Nova,British Columbia,West Vancouver,1,1,Confirmed Churn,0.0,24,0,0,0,0
348350,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,23594.68,23594.68,Premium Value,Star,British Columbia,Vancouver,1,1,Confirmed Churn,0.0,24,0,0,0,0
552568,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,65,23515.85,23515.85,Premium Value,Nova,Ontario,Toronto,1,0,Silent Risk,0.0,24,0,0,0,0
486708,Premium Drifter,Personalized premium win-back offer,Critical Priority,95,High Recovery Potential,75,23295.06,23295.06,Premium Value,Star,Quebec,Montreal,1,1,Confirmed Churn,0.5833333333333334,10,0,1,1,0
966350,Premium Drifter,Personalized premium win-back offer,Critical Priority,75,Medium Recovery Potential,40,23142.15,23142.15,Premium Value,Nova,Ontario,Toronto,1,1,Confirmed Churn,0.125,21,0,0,0,1
883916,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,23055.57,23055.57,Premium Value,Star,Manitoba,Winnipeg,1,1,Confirmed Churn,0.0,24,0,0,0,0
825730,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,22986.15,22986.15,Premium Value,Aurora,British Columbia,Dawson Creek,1,1,Confirmed Churn,0.0,24,0,0,0,0
346560,Premium Drifter,Personalized premium win-back offer,Critical Priority,75,Medium Recovery Potential,50,22837.14,22837.14,Premium Value,Aurora,New Brunswick,Fredericton,1,1,Confirmed Churn,0.2083333333333333,19,0,0,0,1
601997,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,65,22758.91,22758.91,Premium Value,Star,Quebec,Montreal,1,0,Silent Risk,0.0,24,0,0,0,0
670981,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,65,22658.54,22658.54,Premium Value,Nova,Saskatchewan,Regina,1,0,Silent Risk,0.0,24,0,0,0,0
148766,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,22658.54,22658.54,Premium Value,Star,Quebec,Montreal,1,1,Confirmed Churn,0.0,24,0,0,0,0
571406,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,22658.54,22658.54,Premium Value,Star,Nova Scotia,Halifax,1,1,Confirmed Churn,0.0,24,0,0,0,0
773571,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,22658.54,22658.54,Premium Value,Nova,New Brunswick,Fredericton,1,1,Confirmed Churn,0.0833333333333333,22,0,0,0,0
155348,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,22647.22,22647.22,Premium Value,Aurora,British Columbia,Vancouver,1,1,Confirmed Churn,0.0,24,0,0,0,0
875789,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,65,22445.28,22445.28,Premium Value,Aurora,Ontario,Toronto,1,0,Silent Risk,0.0,24,0,0,0,0
295561,Premium Drifter,Personalized premium win-back offer,Critical Priority,75,Medium Recovery Potential,50,22337.16,22337.16,Premium Value,Aurora,British Columbia,Vancouver,1,1,Confirmed Churn,0.125,21,0,0,0,1
817041,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,65,22332.44,22332.44,Premium Value,Star,Quebec,Quebec City,1,0,Silent Risk,0.0,11,0,0,0,0
830836,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,65,22332.44,22332.44,Premium Value,Nova,British Columbia,Vancouver,1,0,Silent Risk,0.0,24,0,0,0,0
742321,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,22332.44,22332.44,Premium Value,Nova,Quebec,Montreal,1,1,Confirmed Churn,0.0833333333333333,22,0,0,0,0
983440,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,65,22305.32,22305.32,Premium Value,Aurora,Manitoba,Winnipeg,1,0,Silent Risk,0.0,24,0,0,0,0
895821,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,22118.81,22118.81,Premium Value,Nova,Quebec,Montreal,1,1,Confirmed Churn,0.0,24,0,0,0,0
678991,Premium Drifter,Personalized premium win-back offer,Critical Priority,70,Medium Recovery Potential,40,22110.4,22110.4,Premium Value,Nova,British Columbia,Vancouver,1,1,Confirmed Churn,0.0,24,0,0,0,0
